iter	Passed	Remaining
0	1	108
1	2	138
2	4	138
3	5	129
4	6	131
5	8	129
6	10	135
7	11	135
8	13	132
9	14	128
10	15	125
11	17	124
12	18	122
13	19	122
14	21	120
15	22	117
16	23	114
17	24	112
18	26	112
19	27	109
20	28	107
21	29	105
22	30	102
23	31	100
24	32	98
25	33	95
26	34	93
27	35	91
28	36	89
29	37	87
30	38	85
31	39	83
32	40	83
33	41	81
34	42	79
35	43	77
36	44	76
37	45	74
38	46	72
39	47	71
40	48	69
41	48	67
42	49	65
43	50	63
44	51	62
45	51	60
46	52	59
47	53	58
48	54	56
49	55	55
50	56	54
51	56	52
52	57	51
53	58	49
54	59	48
55	59	46
56	60	45
57	61	44
58	61	42
59	62	41
60	63	40
61	64	39
62	64	38
63	65	36
64	66	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	70	28
71	71	27
72	72	26
73	72	25
74	73	24
75	74	23
76	75	22
77	75	21
78	76	20
79	77	19
80	77	18
81	78	17
82	79	16
83	79	15
84	80	14
85	81	13
86	82	12
87	82	11
88	83	10
89	84	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	89	2
97	89	1
98	90	0
99	91	0
